id,project_id,amenity
1,1,Location
2,1,Broker Portal
3,1,Amenities
4,1,Sand Castle
5,1,City View
6,1,Building
7,1,Team
8,1,Garden
9,1,Penthouse Two
10,1,Bar
11,1,Azure
12,1,Terrace
13,1,Library
14,1,Get Directions »
15,1,Contact
16,1,Pool
17,1,Ocean View
18,1,Penthouse One
19,1,Balcony
